000_Battery Fan Status,Batt Fan Status,2101,ab,0,9,,7E4
000_Battery Fan Feedback,Batt Fan Feedback,2101,ac,0,1000,Hz,7E4

002_OBC_Efficiency,OBC_Efficiency,2102,ABS(val{000_Battery Power}/val{002_OBC_Charging_Power})*100,0,100,%,794

003_VMCU EWP Status,EWP,2100,{n:1},0,2,,7E2
003_VMCU Radiator Fan,Radiator Fan,2100,{n:3},0,1,,7E2
003_VMCU Ignition,Ignition,2100,{n:4},0,1,,7E2

003_VMCU Real Vehicle Speed,Real Speed,2101,k,0,180,km/h,7E2
003_VMCU Instant Driving Efficiency,Energy Consumption,2101,val{000_Battery Power}*val{003_VMCU Real Vehicle speed}/100,0,90,kWh/100km,7E2
003_VMCU Instant Driving Efficiency2,Energy Economy,2101,val{003_VMCU Real Vehicle Speed}/val{000_Battery Power},0,90,km/kWh,7E2